home_team,away_team,home_score,home_penalty,away_score,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Round,Date,Referee,Host,Year
Argentina,France,3,4,3,2,Lionel Scaloni,Lionel Messi,Didier Deschamps,Hugo Lloris,88966,Lusail Iconic Stadium- Lusail,Final,44913,Szymon Marciniak,Qatar,2022
Croatia,Morocco,2,,1,,Zlatko Dalić,Luka Modrić,Hoalid Regragui,Hakim Ziyech,44137,Khalifa International Stadium- Doha,Third-place match,44912,Abdulrahman Ibrahim Al Jassim,Qatar,2022
France,Morocco,2,,0,,Didier Deschamps,Hugo Lloris,Hoalid Regragui,Romain Saïss,68294,Al Bayt Stadium- Al Khor,Semi-finals,44909,César Arturo Ramos,Qatar,2022
Argentina,Croatia,3,,0,,Lionel Scaloni,Lionel Messi,Zlatko Dalić,Luka Modrić,88966,Lusail Iconic Stadium- Lusail,Semi-finals,44908,Daniele Orsato,Qatar,2022
Morocco,Portugal,1,,0,,Hoalid Regragui,Romain Saïss,Fernando Santos,Pepe,44198,Al Thumama Stadium- ath-Thumāma,Quarter-finals,44905,Facundo Tello,Qatar,2022
England,France,1,,2,,Gareth Southgate,Harry Kane,Didier Deschamps,Hugo Lloris,68895,Al Bayt Stadium- Al Khor,Quarter-finals,44905,Wilton Sampaio,Qatar,2022
Croatia,Brazil,1,4,1,2,Zlatko Dalić,Luka Modrić,Tite,Thiago Silva,43893,Education City Stadium- Doha,Quarter-finals,44904,Michael Oliver,Qatar,2022
Netherlands,Argentina,2,3,2,4,Louis van Gaal,Virgil van Dijk,Lionel Scaloni,Lionel Messi,88235,Lusail Iconic Stadium- Lusail,Quarter-finals,44904,Antonio Matéu,Qatar,2022
Morocco,Spain,0,3,0,0,Hoalid Regragui,Romain Saïss,Luis Enrique,Sergio Busquets,44667,Education City Stadium- Doha,Round of 16,44901,Fernando Rapallini,Qatar,2022
Portugal,Switzerland,6,,1,,Fernando Santos,Pepe,Murat Yakin,Granit Xhaka,83720,Lusail Iconic Stadium- Lusail,Round of 16,44901,César Arturo Ramos,Qatar,2022
Japan,Croatia,1,1,1,3,Hajime Moriyasu,Maya Yoshida,Zlatko Dalić,Luka Modrić,42523,Al Janoub Stadium- Al Wakrah,Round of 16,44900,Ismail Elfath,Qatar,2022
Brazil,Korea Republic,4,,1,,Tite,Thiago Silva,Paulo Bento,Son Heung-min,43847,Stadium 974- Doha,Round of 16,44900,Clément Turpin,Qatar,2022
France,Poland,3,,1,,Didier Deschamps,Hugo Lloris,Czesław Michniewicz,Robert Lewandowski,40989,Al Thumama Stadium- ath-Thumāma,Round of 16,44899,Jesús Valenzuela,Qatar,2022
England,Senegal,3,,0,,Gareth Southgate,Harry Kane,Aliou Cissé,Kalidou Koulibaly,65985,Al Bayt Stadium- Al Khor,Round of 16,44899,Iván Barton,Qatar,2022
Netherlands,United States,3,,1,,Louis van Gaal,Virgil van Dijk,Gregg Berhalter,Tyler Adams,44846,Khalifa International Stadium- Doha,Round of 16,44898,Wilton Sampaio,Qatar,2022
Argentina,Australia,2,,1,,Lionel Scaloni,Lionel Messi,Graham Arnold,Mathew Ryan,45032,Ahmed bin Ali Stadium- Umm al-Afā'ī,Round of 16,44898,Szymon Marciniak,Qatar,2022
Korea Republic,Portugal,2,,1,,Sérgio Costa,Son Heung-min,Fernando Santos,Cristiano Ronaldo,44097,Education City Stadium- Doha,Group stage,44897,Facundo Tello,Qatar,2022
Ghana,Uruguay,0,,2,,Otto Addo,André Ayew,Diego Alonso,Luis Suárez,43443,Al Janoub Stadium- Al Wakrah,Group stage,44897,Daniel Siebert,Qatar,2022
Cameroon,Brazil,1,,0,,Rigobert Song,Vincent Aboubakar,Tite,Dani Alves,85986,Lusail Iconic Stadium- Lusail,Group stage,44897,Ismail Elfath,Qatar,2022
Serbia,Switzerland,2,,3,,Dragan Stojković,Dušan Tadić,Murat Yakin,Granit Xhaka,41378,Stadium 974- Doha,Group stage,44897,Fernando Rapallini,Qatar,2022
Canada,Morocco,1,,2,,John Herdman,Milan Borjan,Hoalid Regragui,Romain Saïss,43102,Al Thumama Stadium- ath-Thumāma,Group stage,44896,Raphael Claus,Qatar,2022
Croatia,Belgium,0,,0,,Zlatko Dalić,Luka Modrić,Roberto Martínez,Kevin De Bruyne,43984,Ahmed bin Ali Stadium- Umm al-Afā'ī,Group stage,44896,Anthony Taylor,Qatar,2022
Costa Rica,Germany,2,,4,,Luis Fernando Suárez,Keylor Navas,Hansi Flick,Manuel Neuer,67054,Al Bayt Stadium- Al Khor,Group stage,44896,Stéphanie Frappart,Qatar,2022
Japan,Spain,2,,1,,Hajime Moriyasu,Maya Yoshida,Luis Enrique,Sergio Busquets,44851,Khalifa International Stadium- Doha,Group stage,44896,Victor Gomes,Qatar,2022
Australia,Denmark,1,,0,,Graham Arnold,Mathew Ryan,Kasper Hjulmand,Christian Eriksen,41232,Al Janoub Stadium- Al Wakrah,Group stage,44895,Mustapha Ghorbal,Qatar,2022
Tunisia,France,1,,0,,Jalel Kadri,Wahbi Khazri,Didier Deschamps,Raphaël Varane,43627,Education City Stadium- Doha,Group stage,44895,Matt Conger,Qatar,2022
Saudi Arabia,Mexico,1,,2,,Hervé Renard,Salem Al-Dawsari,Tata Martino,Guillermo Ochoa,84985,Lusail Iconic Stadium- Lusail,Group stage,44895,Michael Oliver,Qatar,2022
Poland,Argentina,0,,2,,Czesław Michniewicz,Robert Lewandowski,Lionel Scaloni,Lionel Messi,44089,Stadium 974- Doha,Group stage,44895,Danny Makkelie,Qatar,2022
Ecuador,Senegal,1,,2,,Gustavo Alfaro,Enner Valencia,Aliou Cissé,Kalidou Koulibaly,44569,Khalifa International Stadium- Doha,Group stage,44894,Clément Turpin,Qatar,2022
Netherlands,Qatar,2,,0,,Louis van Gaal,Virgil van Dijk,Félix Sánchez,Hassan Al-Haydos,66784,Al Bayt Stadium- Al Khor,Group stage,44894,Bakary Papa Gassama,Qatar,2022
IR Iran,United States,0,,1,,Carlos Queiroz,Ehsan Hajsafi,Gregg Berhalter,Tyler Adams,42127,Al Thumama Stadium- ath-Thumāma,Group stage,44894,Antonio Matéu,Qatar,2022
Wales,England,0,,3,,Rob Page,Gareth Bale,Gareth Southgate,Harry Kane,44297,Ahmed bin Ali Stadium- Umm al-Afā'ī,Group stage,44894,Slavko Vinčič,Qatar,2022
Cameroon,Serbia,3,,3,,Rigobert Song,Eric Maxim Choupo-Moting,Dragan Stojković,Dušan Tadić,39789,Al Janoub Stadium- Al Wakrah,Group stage,44893,Mohammed Abdulla Hassan,Qatar,2022
Korea Republic,Ghana,2,,3,,Paulo Bento,Son Heung-min,Otto Addo,André Ayew,43983,Education City Stadium- Doha,Group stage,44893,Anthony Taylor,Qatar,2022
Brazil,Switzerland,1,,0,,Tite,Thiago Silva,Murat Yakin,Granit Xhaka,43649,Stadium 974- Doha,Group stage,44893,Iván Barton,Qatar,2022
Portugal,Uruguay,2,,0,,Fernando Santos,Cristiano Ronaldo,Diego Alonso,Diego Godín,88668,Lusail Iconic Stadium- Lusail,Group stage,44893,Alireza Faghani,Qatar,2022
Japan,Costa Rica,0,,1,,Hajime Moriyasu,Maya Yoshida,Luis Fernando Suárez,Keylor Navas,41479,Ahmed bin Ali Stadium- Umm al-Afā'ī,Group stage,44892,Michael Oliver,Qatar,2022
Belgium,Morocco,0,,2,,Roberto Martínez,Eden Hazard,Hoalid Regragui,Romain Saïss,43738,Al Thumama Stadium- ath-Thumāma,Group stage,44892,César Arturo Ramos,Qatar,2022
Croatia,Canada,4,,1,,Zlatko Dalić,Luka Modrić,John Herdman,Atiba Hutchinson,44374,Khalifa International Stadium- Doha,Group stage,44892,Andrés Matonte,Qatar,2022
Spain,Germany,1,,1,,Luis Enrique,Sergio Busquets,Hansi Flick,Manuel Neuer,68895,Al Bayt Stadium- Al Khor,Group stage,44892,Danny Makkelie,Qatar,2022
Tunisia,Australia,0,,1,,Jalel Kadri,Youssef Msakni,Graham Arnold,Mathew Ryan,41823,Al Janoub Stadium- Al Wakrah,Group stage,44891,Daniel Siebert,Qatar,2022
Poland,Saudi Arabia,2,,0,,Czesław Michniewicz,Robert Lewandowski,Hervé Renard,Salem Al-Dawsari,44259,Education City Stadium- Doha,Group stage,44891,Wilton Sampaio,Qatar,2022
France,Denmark,2,,1,,Didier Deschamps,Hugo Lloris,Kasper Hjulmand,Kasper Schmeichel,42860,Stadium 974- Doha,Group stage,44891,Szymon Marciniak,Qatar,2022
Argentina,Mexico,2,,0,,Lionel Scaloni,Lionel Messi,Tata Martino,Andrés Guardado,88966,Lusail Iconic Stadium- Lusail,Group stage,44891,Daniele Orsato,Qatar,2022
Wales,IR Iran,0,,2,,Rob Page,Gareth Bale,Carlos Queiroz,Ehsan Hajsafi,40875,Ahmed bin Ali Stadium- Umm al-Afā'ī,Group stage,44890,Mario Escobar,Qatar,2022
Qatar,Senegal,1,,3,,Félix Sánchez,Hassan Al-Haydos,Aliou Cissé,Kalidou Koulibaly,41797,Al Thumama Stadium- ath-Thumāma,Group stage,44890,Antonio Matéu,Qatar,2022
Netherlands,Ecuador,1,,1,,Louis van Gaal,Virgil van Dijk,Gustavo Alfaro,Enner Valencia,44833,Khalifa International Stadium- Doha,Group stage,44890,Mustapha Ghorbal,Qatar,2022
England,United States,0,,0,,Gareth Southgate,Harry Kane,Gregg Berhalter,Tyler Adams,68463,Al Bayt Stadium- Al Khor,Group stage,44890,Jesús Valenzuela,Qatar,2022
Switzerland,Cameroon,1,,0,,Murat Yakin,Granit Xhaka,Rigobert Song,Eric Maxim Choupo-Moting,39089,Al Janoub Stadium- Al Wakrah,Group stage,44889,Facundo Tello,Qatar,2022
Uruguay,Korea Republic,0,,0,,Diego Alonso,Diego Godín,Paulo Bento,Son Heung-min,41663,Education City Stadium- Doha,Group stage,44889,Clément Turpin,Qatar,2022
Portugal,Ghana,3,,2,,Fernando Santos,Cristiano Ronaldo,Otto Addo,André Ayew,42662,Stadium 974- Doha,Group stage,44889,Ismail Elfath,Qatar,2022
Brazil,Serbia,2,,0,,Tite,Thiago Silva,Dragan Stojković,Dušan Tadić,88103,Lusail Iconic Stadium- Lusail,Group stage,44889,Alireza Faghani,Qatar,2022
Morocco,Croatia,0,,0,,Hoalid Regragui,Romain Saïss,Zlatko Dalić,Luka Modrić,59407,Al Bayt Stadium- Al Khor,Group stage,44888,Fernando Rapallini,Qatar,2022
Germany,Japan,1,,2,,Hansi Flick,Manuel Neuer,Hajime Moriyasu,Maya Yoshida,42608,Khalifa International Stadium- Doha,Group stage,44888,Iván Barton,Qatar,2022
Spain,Costa Rica,7,,0,,Luis Enrique,Sergio Busquets,Luis Fernando Suárez,Keylor Navas,40013,Al Thumama Stadium- ath-Thumāma,Group stage,44888,Mohammed Abdulla Hassan,Qatar,2022
Belgium,Canada,1,,0,,Roberto Martínez,Eden Hazard,John Herdman,Atiba Hutchinson,40432,Ahmed bin Ali Stadium- Umm al-Afā'ī,Group stage,44888,Janny Sikazwe,Qatar,2022
Argentina,Saudi Arabia,1,,2,,Lionel Scaloni,Lionel Messi,Hervé Renard,Salman Al-Faraj,88012,Lusail Iconic Stadium- Lusail,Group stage,44887,Slavko Vinčič,Qatar,2022
Denmark,Tunisia,0,,0,,Kasper Hjulmand,Simon Kjær,Jalel Kadri,Youssef Msakni,42925,Education City Stadium- Doha,Group stage,44887,César Arturo Ramos,Qatar,2022
Mexico,Poland,0,,0,,Tata Martino,Guillermo Ochoa,Czesław Michniewicz,Robert Lewandowski,39369,Stadium 974- Doha,Group stage,44887,Chris Beath,Qatar,2022
France,Australia,4,,1,,Didier Deschamps,Hugo Lloris,Graham Arnold,Mathew Ryan,40875,Al Janoub Stadium- Al Wakrah,Group stage,44887,Victor Gomes,Qatar,2022
England,IR Iran,6,,2,,Gareth Southgate,Harry Kane,Carlos Queiroz,Ehsan Hajsafi,45334,Khalifa International Stadium- Doha,Group stage,44886,Raphael Claus,Qatar,2022
Senegal,Netherlands,0,,2,,Aliou Cissé,Kalidou Koulibaly,Louis van Gaal,Virgil van Dijk,41721,Al Thumama Stadium- ath-Thumāma,Group stage,44886,Wilton Sampaio,Qatar,2022
United States,Wales,1,,1,,Gregg Berhalter,Tyler Adams,Rob Page,Gareth Bale,43418,Ahmed bin Ali Stadium- Umm al-Afā'ī,Group stage,44886,Abdulrahman Ibrahim Al Jassim,Qatar,2022
Qatar,Ecuador,0,,2,,Félix Sánchez,Hassan Al-Haydos,Gustavo Alfaro,Enner Valencia,67372,Al Bayt Stadium- Al Khor,Group stage,44885,Daniele Orsato,Qatar,2022
France,Croatia,4,,2,,Didier Deschamps,Hugo Lloris,Zlatko Dalić,Luka Modrić,78011,Olimpiyskiy stadion Luzhniki- Moskva,Final,43296,Néstor Pitana,Russia,2018
Belgium,England,2,,0,,Roberto Martínez,Eden Hazard,Gareth Southgate,Harry Kane,64406,Gazprom Arena- Sankt-Petersburg,Third-place match,43295,Alireza Faghani,Russia,2018
Croatia,England,2,,1,,Zlatko Dalić,Luka Modrić,Gareth Southgate,Harry Kane,78011,Olimpiyskiy stadion Luzhniki- Moskva,Semi-finals,43292,Cüneyt Çakιr,Russia,2018
France,Belgium,1,,0,,Didier Deschamps,Hugo Lloris,Roberto Martínez,Eden Hazard,64286,Gazprom Arena- Sankt-Petersburg,Semi-finals,43291,Andrés Cunha,Russia,2018
Sweden,England,0,,2,,Janne Andersson,Andreas Granqvist,Gareth Southgate,Harry Kane,39991,Cosmos Arena- Samara,Quarter-finals,43288,Björn Kuipers,Russia,2018
Russia,Croatia,2,3,2,4,Stanislav Cherchesov,Igor Akinfeev,Zlatko Dalić,Luka Modrić,44287,Olimpiyskiy Stadion Fisht- Sochi,Quarter-finals,43288,Sandro Ricci,Russia,2018
Uruguay,France,0,,2,,Óscar Tabárez,Diego Godín,Didier Deschamps,Hugo Lloris,43319,Stadion Nizhny Novgorod- Nizhny Novgorod,Quarter-finals,43287,Néstor Pitana,Russia,2018
Brazil,Belgium,1,,2,,Tite,Miranda,Roberto Martínez,Eden Hazard,42873,Kazan Arena- Kazan,Quarter-finals,43287,Milorad Mažić,Russia,2018
Sweden,Switzerland,1,,0,,Janne Andersson,Andreas Granqvist,Vladimir Petković,Valon Behrami,64042,Gazprom Arena- Sankt-Petersburg,Round of 16,43284,Damir Skomina,Russia,2018
Colombia,England,1,3,1,4,José Pekerman,Radamel Falcao,Gareth Southgate,Harry Kane,44190,Otkrytie Arena- Moskva,Round of 16,43284,Mark Geiger,Russia,2018
